file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,serverity
171998,55f05db,,11,0,0,0,22,1,0,25,0,0.26666668,0.52380955,0.52380955,15,0,15,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,73,17,0,5,1,1,3,0,7,1,6,2,0,0,0,72,1,0,normal
172020,27caa85,,8,0,0,0,10,2,0,7,3,0.74285716,0.6,0.6,7,0,5,2,0,0,0,0,0,0,5,0,0,4,0,1,0,0,0,179,1,0,1,0,0,6,0,8,0,5,1,0,2,0,129,1,0,major
134740,a641e45,,23,0,0,0,49,1.5,0,61.5,65.5,0.8649321,0.3126763,1.5526316,19,0,11,0,8,0,0,0,0,0,15,5,4,11,0,0,5,0,0,244.5,16.5,1.5,14.5,1,2,1.5,14,59,1.5,38,3.5,2,0,0,256.5,1,0,normal
147515,2260c8d,,11.214286,0,0,0,7.571429,1.9285715,0,10,1.7142857,0.2991071,NaN,NaN,4,0.78571427,3.2857144,0.64285713,0.071428575,0,0,0,0,0,4.928571,0,0,4.285714,0,0.64285713,0,0,0.35714287,61.857143,1.1428572,0,3.5714285,0,0,1.6428572,0.21428572,11.714286,0.14285715,7.285714,1.2142857,1.4285715,0.2857143,0,37.785713,0.78571427,0,normal
171746,ec6fdf3,,122,0,0,0,301,2,0,259,6281,0.97891295,0.00999001,0.01065601,115,6,62,37,5,11,0,0,11,0,40,7,1,37,0,2,6,0,10,1623,114,26,77,15,7,21,66,304,11,245,6,24,1,0,621,17,0,normal
171733,2c31e07,,6,0,0,0,14.5,2.5,0,20,1.5,0.13636364,NaN,NaN,7,1.5,4.5,1.5,1,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,10,76,0.5,4.5,2.5,0,0.5,9,5.5,24,4,24,2,0.5,0.5,0,53,1,0,critical
169023,e21b834,,11.5,0,0,0,18.5,2.5,0,15,21.5,NaN,NaN,NaN,5.5,0,4.5,1,0,0,0,0,0,0,365.5,363.5,363,2.5,0,0,0.5,0,1.5,449,1,3.5,1,0,2.5,0.5,7.5,20,0.5,380.5,2.5,2,0.5,0,324,1,0,enhancement
171649,75e10d1,,33,0,0,0,444,3,0,153,6387,0.9590643,0.006177076,0.009608786,114,0,28,20,65,1,0,13,2,0,3,1,1,2,0,0,1,0,3,1531,109,61,136,0,12,1,146,362,29,307,5,8,1,0,549,1025,0,normal
170884,97efbe3,,22.041666,0,0,0,45.270832,2.5,0,48.791668,252.89583,0.6243915,NaN,NaN,16.5625,1.125,7.6666665,4.8541665,2.625,1.4166666,0,0.39583334,1.875,0.020833334,7.3541665,2.0416667,0.3125,6.4166665,0.083333336,0.5416667,1.8958334,0,3.8125,271.85416,13.520833,3.6666667,12.291667,2.3541667,3.1666667,5.8125,10.375,50.3125,2.6458333,38.791668,2.7916667,2.75,1.0625,0,181.0625,195.27083,0,critical
167131,3eb6ff2,,18.666666,0,0,0,43,2.3333333,0,44,76.666664,0.8293651,0.102339186,0.37719297,13.666667,4.3333335,4.6666665,3,0,6,0,2.6666667,1.3333334,0,6.3333335,2.6666667,1.6666666,4.3333335,0,0.33333334,2,0,3,234.66667,16.333334,3.6666667,9.333333,2,2.3333333,4.3333335,8.333333,37,1,30.666666,3.3333333,2.6666667,1.6666666,0,184.33333,342.33334,0,normal
171262,c096d60,,37,0,0,0,32,9,0,55,104,0.8802083,0.06666667,0.14285715,16,0,5,1,10,0,0,0,0,0,12,3,0,12,0,0,3,0,0,364,8,1,8,2,2,8,4,29,1,27,6,2,7,0,165,1,0,minor
171452,a223ce7,,4,0,0,0,5,1,0,2,4,0.4,0.3,0.3,5,0,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,25,2,0,0,0,0,0,0,3,0,2,0,1,0,0,133,1025,0,critical
168432,07e5926,,8.75,0,0,0,27.5,2,0,29,45,0.8072649,0.08531746,0.34126985,11,2,7.5,3,0,0.5,0,0,0,0,5.5,0.5,0.5,5,0,0,0,0,2,130.25,6,1.5,4.5,0.5,0,3.5,4,28,1,17,2.5,0.5,0,0,81.5,1,0,normal
170119,b33a538,,15,0,0,0,205,2,0,61,28,0.81913054,0.4311594,0.76449275,25,2,16,1,0,8,0,0,0,0,20,8,0,2,0,18,8,0,10,547,30,9,60,0,19,0,258,206,265,126,7,0,0,0,254,1,6,normal
153975,3f0d6a6,,8,0,0,0,14.5,1,0,12.5,50.5,0.70138884,0.04761905,0.0952381,11,0,7.5,2.5,1,0,0,0.5,0,0,3,0.5,0,0.5,2,0.5,0,0,0,87.5,5,0.5,2.5,0,0.5,0,1.5,8.5,0,7,1,1.5,0,0,79.5,513,0,normal
170928,74569b0,,9,0,0,0,10,2,0,17,1,0.5666667,0.33333334,0.33333334,6,0,2,3,1,0,0,0,0,0,5,0,0,5,0,0,2,0,0,85,0,2,0,0,0,0,0,17,0,14,2,2,0,0,44,1,0,normal
167325,9ad943e,,8.2,0,0,0,24.8,1.4,0,12.6,38,0.3799499,0.6219048,3.1666667,16,0,12.6,1,1.4,1,0,3.8,0,0,2.2,1.2,1.2,1,0,0,1.2,0,0,65,8.2,0.2,5,0,2.2,0.8,5.8,9.4,3.4,5.2,1,0,0,0,88,410.6,0,normal
171015,9e87ff7,,13,0,0,0,12,2,0,38,15,0.4,0.47619048,0.47619048,10,0,3,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,216,4,0,2,0,0,0,0,8,0,6,1,5,0,0,110,0,0,normal
